epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,92.8521,0.4727,0.41387,0.98779,0.99675,0.97585,0.9942,0.90489,0.43332,0.35533,0.94809,0.000973861,0.000973861,0.000973861
44,94.7246,0.46416,0.40136,0.98468,0.99352,0.99813,0.995,0.92318,0.43901,0.3531,0.93768,0.000957358,0.000957358,0.000957358
45,96.6261,0.47217,0.41425,1.00217,0.99327,1,0.995,0.89901,0.42054,0.32936,0.93272,0.000940855,0.000940855,0.000940855
46,98.5201,0.44934,0.3961,0.98204,0.99621,1,0.995,0.90464,0.41167,0.33217,0.92586,0.000924352,0.000924352,0.000924352
47,100.35,0.45538,0.39649,0.98104,0.99746,1,0.995,0.90026,0.40875,0.33072,0.93986,0.000907848,0.000907848,0.000907848
48,102.206,0.4428,0.38893,0.9721,0.99725,1,0.995,0.90359,0.44493,0.33883,0.97621,0.000891345,0.000891345,0.000891345
49,104.081,0.46364,0.40624,0.98898,0.99252,1,0.995,0.91476,0.41832,0.33165,0.93334,0.000874842,0.000874842,0.000874842
50,105.983,0.40848,0.37799,0.95645,0.97634,0.98868,0.9942,0.88934,0.50335,0.37489,0.96554,0.000858338,0.000858338,0.000858338
51,107.851,0.43876,0.3956,0.97145,0.99634,1,0.995,0.91626,0.40631,0.31987,0.91182,0.000841835,0.000841835,0.000841835
52,109.693,0.44671,0.38412,0.97824,0.99383,1,0.995,0.9178,0.40739,0.30724,0.93967,0.000825332,0.000825332,0.000825332
53,111.622,0.41569,0.37448,0.96522,0.9964,1,0.995,0.88754,0.4537,0.35386,0.98607,0.000808828,0.000808828,0.000808828
54,113.564,0.43256,0.35626,0.98383,0.99539,1,0.995,0.91411,0.4111,0.30483,0.9548,0.000792325,0.000792325,0.000792325
55,115.454,0.46488,0.39981,0.99362,0.99475,0.98376,0.995,0.91054,0.39902,0.31088,0.91262,0.000775822,0.000775822,0.000775822
56,117.379,0.46052,0.37275,0.98412,0.99577,0.9899,0.995,0.92112,0.37663,0.32443,0.90965,0.000759318,0.000759318,0.000759318
57,119.412,0.45084,0.38377,0.97561,1,0.99191,0.995,0.89801,0.44786,0.35322,0.94833,0.000742815,0.000742815,0.000742815
58,121.237,0.40638,0.35535,0.9539,0.99493,1,0.995,0.91216,0.40301,0.32505,0.91898,0.000726312,0.000726312,0.000726312
59,123.067,0.44485,0.36866,0.98801,0.99485,1,0.995,0.93145,0.38503,0.31462,0.9041,0.000709809,0.000709809,0.000709809
60,124.919,0.39614,0.34171,0.95062,0.9968,0.99609,0.995,0.92901,0.3636,0.27945,0.90192,0.000693305,0.000693305,0.000693305
61,126.806,0.41196,0.3564,0.98174,0.99656,1,0.995,0.91801,0.38615,0.27721,0.91674,0.000676802,0.000676802,0.000676802
62,128.74,0.38477,0.3389,0.93625,0.99743,1,0.995,0.92369,0.36648,0.26709,0.90871,0.000660299,0.000660299,0.000660299
63,131.083,0.38648,0.34804,0.91577,0.99388,1,0.995,0.91948,0.39579,0.2751,0.9216,0.000643795,0.000643795,0.000643795
64,133.345,0.3981,0.32835,0.96582,0.99465,1,0.995,0.91436,0.40693,0.28774,0.95246,0.000627292,0.000627292,0.000627292
65,135.756,0.38739,0.34797,0.95243,0.99454,1,0.995,0.92957,0.37797,0.28507,0.9074,0.000610789,0.000610789,0.000610789
66,137.936,0.39358,0.35385,0.95004,0.99637,0.99023,0.995,0.92418,0.39807,0.2821,0.9275,0.000594286,0.000594286,0.000594286
67,139.904,0.38982,0.33679,0.96622,0.99524,1,0.995,0.92032,0.40517,0.28656,0.95608,0.000577782,0.000577782,0.000577782
68,141.804,0.38749,0.33243,0.95517,0.99742,1,0.995,0.92905,0.36107,0.26013,0.90836,0.000561279,0.000561279,0.000561279
69,143.789,0.3739,0.31781,0.93077,0.99595,1,0.995,0.93762,0.34209,0.26385,0.90107,0.000544776,0.000544776,0.000544776
70,145.779,0.34196,0.30549,0.91649,0.99559,1,0.995,0.93081,0.34434,0.25688,0.8948,0.000528272,0.000528272,0.000528272
71,147.696,0.37703,0.32975,0.94686,0.99567,1,0.995,0.91954,0.35021,0.24579,0.89994,0.000511769,0.000511769,0.000511769
72,149.639,0.41877,0.33675,0.96788,0.99583,1,0.995,0.92437,0.35479,0.26023,0.90262,0.000495266,0.000495266,0.000495266
73,151.625,0.38551,0.32156,0.94764,0.99476,1,0.995,0.90751,0.39164,0.27275,0.91147,0.000478762,0.000478762,0.000478762
74,153.678,0.38043,0.32263,0.95229,0.99788,0.99876,0.995,0.93187,0.35916,0.27987,0.88815,0.000462259,0.000462259,0.000462259
75,155.623,0.36216,0.32329,0.93108,0.99578,1,0.995,0.92731,0.36126,0.26571,0.89842,0.000445756,0.000445756,0.000445756
76,157.693,0.35666,0.31011,0.93556,0.99539,1,0.995,0.92942,0.35607,0.26225,0.90176,0.000429253,0.000429253,0.000429253
77,159.825,0.35124,0.31805,0.93538,0.98968,1,0.995,0.9255,0.35818,0.2606,0.90738,0.000412749,0.000412749,0.000412749
78,161.892,0.35767,0.29753,0.92789,0.99515,1,0.995,0.92642,0.35468,0.24316,0.90581,0.000396246,0.000396246,0.000396246
79,163.971,0.35348,0.29923,0.9363,0.99623,1,0.995,0.94132,0.35045,0.24825,0.89424,0.000379743,0.000379743,0.000379743
80,165.97,0.33944,0.29857,0.92621,0.99695,1,0.995,0.9338,0.36976,0.26269,0.90191,0.000363239,0.000363239,0.000363239
81,168.081,0.3397,0.28969,0.9287,0.99654,1,0.995,0.93106,0.34812,0.24693,0.90208,0.000346736,0.000346736,0.000346736
82,170.127,0.32388,0.29208,0.90953,0.99593,1,0.995,0.93509,0.32924,0.23455,0.89722,0.000330233,0.000330233,0.000330233
83,172.164,0.33278,0.28044,0.93052,0.99667,1,0.995,0.93221,0.33139,0.23819,0.88947,0.000313729,0.000313729,0.000313729
84,174.124,0.31581,0.27462,0.91009,0.99635,1,0.995,0.93134,0.33191,0.23618,0.89242,0.000297226,0.000297226,0.000297226
85,176.111,0.33525,0.28793,0.92488,0.99698,1,0.995,0.9366,0.33559,0.24408,0.89882,0.000280723,0.000280723,0.000280723
86,178.052,0.29862,0.2756,0.91396,0.99674,1,0.995,0.94717,0.31881,0.23464,0.87623,0.00026422,0.00026422,0.00026422
87,180.01,0.30551,0.27024,0.89887,0.99797,0.99907,0.995,0.93863,0.32477,0.2413,0.88043,0.000247716,0.000247716,0.000247716
88,181.952,0.30511,0.2684,0.90834,0.99814,0.99981,0.995,0.94825,0.3223,0.24002,0.87948,0.000231213,0.000231213,0.000231213
89,183.988,0.29229,0.25308,0.89391,0.99865,0.99684,0.995,0.94821,0.31713,0.23795,0.8728,0.00021471,0.00021471,0.00021471
90,185.945,0.32272,0.28471,0.92127,0.99844,0.99519,0.995,0.94578,0.30696,0.22659,0.87347,0.000198206,0.000198206,0.000198206
91,198.014,0.23542,0.31046,0.82869,0.99511,1,0.995,0.94683,0.31037,0.22866,0.87879,0.000181703,0.000181703,0.000181703
92,200.022,0.22815,0.27592,0.81484,0.99729,1,0.995,0.94433,0.33047,0.22777,0.89625,0.0001652,0.0001652,0.0001652
93,201.904,0.20341,0.24335,0.82093,0.99571,1,0.995,0.92854,0.3495,0.23709,0.90708,0.000148696,0.000148696,0.000148696
94,203.786,0.20397,0.22985,0.81236,0.99604,1,0.995,0.93998,0.34857,0.24619,0.91028,0.000132193,0.000132193,0.000132193
95,205.675,0.19789,0.22457,0.81528,0.99693,1,0.995,0.94373,0.34293,0.24505,0.9158,0.00011569,0.00011569,0.00011569
96,207.581,0.19641,0.21463,0.8179,0.99738,1,0.995,0.93707,0.34279,0.24383,0.92068,9.91865e-05,9.91865e-05,9.91865e-05
97,209.471,0.20204,0.21418,0.80507,0.99778,1,0.995,0.93133,0.34047,0.23749,0.92011,8.26832e-05,8.26832e-05,8.26832e-05
98,211.351,0.1937,0.21234,0.81344,0.99779,1,0.995,0.93015,0.33144,0.23129,0.91259,6.61799e-05,6.61799e-05,6.61799e-05
99,213.238,0.1842,0.22223,0.82233,0.99777,1,0.995,0.9329,0.32366,0.22456,0.90657,4.96766e-05,4.96766e-05,4.96766e-05
100,215.164,0.19129,0.20668,0.83143,0.99783,1,0.995,0.93222,0.32131,0.22715,0.90237,3.31733e-05,3.31733e-05,3.31733e-05
